Index,Timestamp,rosbagTimestamp,_actuator_controls_0_0_control[0],_actuator_controls_0_0_control[1],_actuator_controls_0_0_control[2],_actuator_controls_0_0_control[3],_actuator_outputs_0_output[0],_actuator_outputs_0_output[1],_actuator_outputs_0_output[2],_actuator_outputs_0_output[3],_sensor_combined_0_gyro_rad[0],_sensor_combined_0_gyro_rad[1],_sensor_combined_0_gyro_rad[2],_sensor_combined_0_accelerometer_m_s2[0],_sensor_combined_0_accelerometer_m_s2[1],_sensor_combined_0_accelerometer_m_s2[2],_vehicle_air_data_0_baro_alt_meter,_vehicle_air_data_0_baro_temp_celcius,_vehicle_air_data_0_baro_pressure_pa,_vehicle_attitude_0_q[0],_vehicle_attitude_0_q[1],_vehicle_attitude_0_q[2],_vehicle_attitude_0_q[3],_vehicle_local_position_0_x,_vehicle_local_position_0_y,_vehicle_local_position_0_z,_vehicle_local_position_0_vx,_vehicle_local_position_0_vy,_vehicle_local_position_0_vz,_vehicle_magnetometer_0_magnetometer_ga[0],_vehicle_magnetometer_0_magnetometer_ga[1],_vehicle_magnetometer_0_magnetometer_ga[2],offb_flight_mode_slash_send_data_program_time,offb_flight_mode_slash_send_data_sleep_status,offb_flight_mode_slash_send_data_flight_status,rc_slash_in_channels[0],rc_slash_in_channels[1],rc_slash_in_channels[2],rc_slash_in_channels[3],rc_slash_in_channels[4],rc_slash_in_channels[5],rc_slash_in_channels[6],rc_slash_in_channels[7],rc_slash_in_channels[8],rc_slash_in_channels[9],rc_slash_in_channels[10],rc_slash_in_channels[11],rc_slash_in_channels[12],rc_slash_in_channels[13],rc_slash_in_channels[14],rc_slash_in_channels[15],rc_slash_in_channels[16],rc_slash_in_channels[17],rfly_ctrl_lxl_slash_send_data_id,rfly_ctrl_lxl_slash_send_data_mode,rfly_ctrl_lxl_slash_send_data_controls[0],rfly_ctrl_lxl_slash_send_data_controls[1],rfly_ctrl_lxl_slash_send_data_controls[2],rfly_ctrl_lxl_slash_send_data_controls[3],rfly_ctrl_lxl_slash_send_data_controls[4],rfly_ctrl_lxl_slash_send_data_controls[5],rfly_ctrl_lxl_slash_send_data_controls[6],rfly_ctrl_lxl_slash_send_data_controls[7],rfly_ctrl_lxl_slash_send_data_controls[8],rfly_ctrl_lxl_slash_send_data_controls[9],rfly_ctrl_lxl_slash_send_data_controls[10],rfly_ctrl_lxl_slash_send_data_controls[11],rfly_ctrl_lxl_slash_send_data_controls[12],rfly_ctrl_lxl_slash_send_data_controls[13],rfly_ctrl_lxl_slash_send_data_controls[14],rfly_ctrl_lxl_slash_send_data_controls[15]
0.0,223578694.0,1.6847353692785367e+18,0.005795893438396897,0.019112885520361993,0.0016499661055591468,0.15092836,1153.7896774193548,1135.2103225806452,1158.0,1124.2103225806452,0.008494369782047035,0.015711706074859222,-0.009275782472606825,0.42228761097714473,0.15714819631666113,-9.935283167605167,527.7337398325025,35.43613958125623,95144.77489531407,0.9916068418426104,-0.005224702564107486,-0.022040768708253358,0.12729011499040307,3.350893564041642,-1.1039099613499235,-0.4510568083965361,0.018928721731265828,0.008875485812142432,0.0022200885966986586,0.3352163488386841,-0.13601672354240982,0.5358683119817678,0.0,0.0,0.0,1514.0,1514.0,1519.9995653848814,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,223628694.0,1.6847353693285368e+18,0.006609768045727637,0.016616389660881175,-0.0009215327102403204,0.16195698,1159.4096064042694,1145.5903935957306,1170.0,1138.5903935957306,-0.006894332172623061,0.039362771927848955,0.005056194502427513,-0.4687403976062037,0.08307987172285908,-10.339210002022927,527.6630001516481,35.44,95145.58715460134,0.9916060628069385,-0.005154987130322145,-0.02187579698941203,0.12732798666141024,3.351216664051021,-1.1030326778701764,-0.4509263283056658,0.023259827076145517,0.010054834193255594,0.003337176163522681,0.33331419439914023,-0.13007807467335375,0.5359764866879437,0.0,0.0,0.0,1514.0,1514.0,1519.5056845682,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,223678694.0,1.6847353693785367e+18,0.007376965234226805,0.01720637048041237,-0.00021030092156701033,0.17544945,1172.923076923077,1159.0384615384614,1182.9615384615386,1150.0384615384614,0.007335873839956947,-0.02949186400082795,-0.007156916985643319,-1.5097748694982613,0.28306212617983106,-9.965035699453551,527.6605070726524,35.43493226192057,95145.61669345199,0.9916034726777357,-0.005067522574002674,-0.02180907506329396,0.12736308648763092,3.35169179001215,-1.1018921050681194,-0.45088697638180697,0.02461128142252918,0.0102381655539079,0.0029594255218330476,0.3423786270420018,-0.13683805022341378,0.5342596690795353,0.0,0.0,0.0,1514.0,1514.0,1519.0118037515188,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,223728694.0,1.6847353694285368e+18,0.006050345370873786,0.022405621078317152,-0.00017920581975404531,0.18809463,1188.6567357512954,1166.6716321243523,1197.3283678756477,1159.0,0.03461278103460838,-0.01977207779787382,-0.0046570895275707905,-0.12524482144394766,0.2576041251896009,-9.03290798575923,527.7560262321906,35.43,95144.52524963085,0.9916189154428754,-0.004934804224005135,-0.02188019763157895,0.12723579867779203,3.35223769090049,-1.1006289592289766,-0.45089004872375815,0.024575574036957735,0.009957806134714975,0.0018857603722493327,0.34366881718633796,-0.14420681044931827,0.5385277256214709,0.0,0.0,0.0,1514.0,1514.0,1519.0,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,223778694.0,1.6847353694785367e+18,0.00831754956245825,0.02228158970541082,0.0013041384965931865,0.19967268,1200.0,1181.0,1208.2914171656687,1167.0,-0.025941250644559353,-0.004442964079136691,-0.0129368558469384,-0.8363131769896583,0.23111202619671767,-9.939320690422662,527.7703425904443,35.43,95144.35282425402,0.9916355189480782,-0.004955036087705102,-0.02188272767588222,0.12710508842661272,3.3529676008130633,-1.0993801313910156,-0.4508609281116607,0.027799241169659192,0.011111203400840165,0.004139910569659191,0.31057073401851026,-0.13949490370702095,0.5248704032989998,0.0,0.0,0.0,1514.0,1514.0,1519.0,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,223828694.0,1.6847353695285368e+18,0.007100964536144578,0.029296550514056226,0.001009853309236948,0.21470472,1218.9174496644296,1189.1651006711409,1226.9174496644296,1178.0,-0.01436955931832478,-0.26231605251945045,-0.022731866501241517,-0.03666949908359543,-0.10204118121006456,-9.807356425674557,527.4143389625935,35.43332651704073,95148.41325852036,0.9916565050339682,-0.004747368265775699,-0.02189810761254037,0.12694600850094664,3.353786471623126,-1.0981382257257073,-0.4508162435124331,0.03259868364059702,0.012957763853058182,0.008002924469168449,0.32866449071750253,-0.1288836857684404,0.5212086582659263,0.0,0.0,0.0,1514.0,1514.0,1519.0,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,223878694.0,1.6847353695785367e+18,0.008114281881553399,0.025679410124919096,-0.0026369584636893205,0.22676907,1224.3380736910149,1200.6619263089851,1239.8920491273432,1195.1079508726568,0.012131179091421002,-0.12420845100033126,0.022574346502484265,0.2874421654935406,0.2449966381931103,-9.95407205746936,527.1948582960571,35.43803472471395,95150.91475800343,0.9916829778913738,-0.004803426358466454,-0.021731388726517573,0.12676574401277954,3.3541625768699532,-1.0967934466898954,-0.45081741023347033,0.033479102115817144,0.013860922853950635,0.008083783507504851,0.3169602343168454,-0.12598036038049118,0.5275526558215151,0.0,0.0,0.0,1514.0,1514.0,1518.9940107474354,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,223928694.0,1.6847353696285368e+18,0.008581000760666667,0.025406766545333335,-0.0009344217860000001,0.2404318,1238.5036691127418,1215.4963308872582,1251.834556370914,1206.165443629086,0.07440773051933457,-0.12918136142535971,0.006756322538916367,0.421838132488759,0.39387337156924457,-10.504525661420862,527.5412113691605,35.43,95146.96613158788,0.9916765507934734,-0.004700507100581136,-0.021735627626955745,0.12681939921323201,3.3542530231550836,-1.0953822968641116,-0.45084815884078533,0.03183108473594275,0.014155427746604353,0.00572451052037806,0.3368097524077999,-0.1385684598601102,0.525065314773209,0.0,0.0,0.0,1514.0,1514.0,1518.7497508549097,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,223978694.0,1.6847353696785367e+18,0.005056415509084837,0.023469519472945892,-0.0012254118354709418,0.2561427,1254.0,1229.5911823647295,1262.7955911823647,1224.6132264529058,0.08207386998178205,0.31932454442861874,0.037760612835375955,-1.364286908347135,0.190846084188473,-11.06911838572375,527.6813720246864,35.43,95145.37746466255,0.9916749795364386,-0.0045494480237129485,-0.02124722597392467,0.1269193131892133,3.354466888838228,-1.0940739411249378,-0.45083911549547034,0.03356902099850672,0.014040593752812344,0.007408904635950224,0.33790457628438425,-0.1426322007278883,0.528587042361405,0.0,0.0,0.0,1514.0,1514.0,1518.5054909623839,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,224028694.0,1.6847353697285368e+18,0.008013699430420712,0.030101382602588996,-0.0018546082097734627,0.2708368,1269.6940491591204,1240.1765847347995,1283.8234152652005,1232.8706338939198,0.006370369750620962,-0.11195940009438649,0.050037921711707234,1.1613920080145719,0.09818412373902964,-8.495265976982946,527.3898463760038,35.43,95148.70383004844,0.9916358008667941,-0.0042436540815806245,-0.021256151473550033,0.12723486546207774,3.3547360277132903,-1.0928116215629666,-0.45081225138397213,0.0368233515111996,0.013742437953907416,0.01090424898637332,0.3261335535676346,-0.13674339911590966,0.5254726190583271,0.0,0.0,0.0,1514.0,1514.0,1518.2612310698582,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,224078694.0,1.6847353697785367e+18,0.0049699020763684905,0.03341560738251002,-0.001841304060413885,0.28480035,1287.7797062750333,1248.9559412550066,1298.0440587449934,1246.13217623498,0.0660647210725089,-0.3344987728981317,-0.06342709597486655,-0.9221453927157474,-0.1664276437811388,-10.080937161032027,527.6879268606604,35.42014589495563,95145.29120912943,0.9916364353955376,-0.0040638231494252875,-0.021095574250845163,0.12726199609871533,3.3547481512953263,-1.0914010040366453,-0.4514552574283576,0.036917980994398046,0.015077198981879588,0.000477055257083343,0.334373368664366,-0.1324617524124423,0.534613417012545,0.0,0.0,0.0,1514.0,1514.0,1518.0169711773326,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,224128694.0,1.6847353698285368e+18,0.008931433639333334,0.012370908239333334,0.0023981043094000003,0.30044568,1289.307486631016,1284.7118983957218,1296.26871657754,1268.7118983957218,-0.11834387812584865,0.29254472428382183,-0.01615126925749296,2.839014559695314,0.5883502018698461,-7.990599155257493,527.3056441039852,35.42,95149.669889755,0.9916885821845742,-0.003548070270352207,-0.01793623791885867,0.1273554199375836,3.3546402579954298,-1.0899211367039456,-0.4524110687010334,0.03553714393653811,0.017174473336238803,-0.01645146214538799,0.32455075597510374,-0.15332185843706778,0.5248248951244813,0.0,0.0,0.0,1514.0,1514.0,1518.238396819053,1514.0,1933.0,1095.0,1933.0,1514.0,1514.0,1514.0,874.0,874.0,874.0,874.0,874.0,874.0,998.0,998.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
