number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
0,0.5638775165939345,2026-01-07 18:35:33.941401,2026-01-07 18:38:34.730661,0 days 00:03:00.789260,focal_only,16,0.31649165607921675,96,2,32,2,96,2,0.4137788066524075,exponential,1.5687770422304368,3.896896099223678,0.0004446862319918235,cosine,True,0.4879639408647978,96,1,39,1.3783237455007196e-06,COMPLETE
1,0.5402902930067108,2026-01-07 18:38:34.731372,2026-01-07 18:43:46.976929,0 days 00:05:12.245557,weighted_sampling,16,0.5314950036607717,96,2,48,4,64,2,0.21130957784492266,linear,2.150366644053494,1.222133955202271,0.00010406973468428385,warmup_cosine,True,0.3391599915244341,96,2,36,1.0388823104027941e-06,COMPLETE
2,0.5195044922806118,2026-01-07 18:43:46.977661,2026-01-07 18:44:59.789196,0 days 00:01:12.811535,focal_only,64,0.29971689165954996,128,2,48,3,32,2,0.45324108496557197,constant,1.5139042610623814,3.4223204654921875,0.0005172742039105442,warmup_cosine,False,0.27101640734341986,128,3,31,0.00041151130495610907,COMPLETE
3,0.5052676665810995,2026-01-07 18:44:59.789860,2026-01-07 18:50:29.353527,0 days 00:05:29.563667,focal_only,16,0.22059150049999576,96,2,32,3,32,1,0.09063039652448374,constant,1.5331756578557123,2.6073240522242753,0.0008300998180449414,cosine,False,0.48497891797684456,256,3,33,5.163124910488018e-06,COMPLETE
4,0.48467519894385563,2026-01-07 18:50:29.354309,2026-01-07 18:52:45.384723,0 days 00:02:16.030414,weighted_sampling,32,0.5588863031813307,32,3,96,3,32,3,0.3485757960986251,exponential,2.9243584426950715,1.3044146285980962,0.0005340024109393224,cosine,False,0.45093574135239245,64,2,20,1.7882156647879496e-06,COMPLETE
5,0.5161657559866516,2026-01-07 18:52:45.385427,2026-01-07 18:53:34.398963,0 days 00:00:49.013536,focal_only,64,0.2780971951192178,32,3,96,1,96,3,0.18250200143131357,linear,2.892059593349946,3.5590283664020803,0.000195878355149239,warmup_cosine,False,0.48920422190097823,64,2,40,1.112678892549329e-06,COMPLETE
6,0.5348113975576662,2026-01-07 18:53:34.399633,2026-01-07 18:56:06.208749,0 days 00:02:31.809116,class_weights,32,0.45998557231110604,32,3,64,3,64,3,0.21208578863506833,exponential,1.6033634423372154,3.4678016819789748,0.000278538967389569,warmup_cosine,False,0.21743673770579736,64,2,20,4.245549454254901e-05,COMPLETE
7,0.5547062231838351,2026-01-07 18:56:06.209412,2026-01-07 19:01:24.308059,0 days 00:05:18.098647,weighted_sampling,16,0.4196906658824482,32,3,96,3,96,3,0.4349572628049532,constant,2.367703298475946,1.1221864069569105,0.00012469525027497717,step,True,0.11014029736618301,96,2,20,1.1692786931726748e-05,COMPLETE
8,0.5208730793208405,2026-01-07 19:01:24.311745,2026-01-07 19:02:29.906639,0 days 00:01:05.594894,weighted_sampling,64,0.41824671572637395,96,3,48,2,64,3,0.17683464864803,linear,2.064069145142613,3.4434054477668075,7.083914213504335e-05,step,False,0.35696771128252625,96,2,20,0.00011194902621864976,COMPLETE
9,0.5190268803403132,2026-01-07 19:02:29.907322,2026-01-07 19:03:22.440211,0 days 00:00:52.532889,class_weights,64,0.3556806714936652,128,3,64,1,32,1,0.09104274637191068,exponential,1.7341340328552117,3.3688544283836617,0.0002614608287274541,cosine,True,0.400348427116599,128,2,36,7.579356154838342e-06,COMPLETE
10,0.5230177857640543,2026-01-07 19:03:22.440853,2026-01-07 19:07:32.142553,0 days 00:04:09.701700,focal_only,16,0.3339180704892945,64,2,32,2,96,2,0.34751076746561943,exponential,3.3238334464358745,2.554248108379569,0.0014651327083323655,onecycle,True,0.18127092808521,192,1,26,0.0006465162963287197,COMPLETE
11,0.22073299350911296,2026-01-07 19:07:32.143307,2026-01-07 19:10:49.290645,0 days 00:03:17.147338,weighted_sampling,16,0.46434229011691464,32,2,96,4,96,2,0.49636436334108497,constant,2.4364981737604237,1.9103389026656739,0.00013619907512611414,step,True,0.11343435397378887,96,1,26,9.95965626635985e-06,PRUNED
12,0.5108659650152187,2026-01-07 19:10:49.293813,2026-01-07 19:14:23.590779,0 days 00:03:34.296966,focal_only,16,0.3892385376293879,64,2,32,2,96,2,0.3910550316445662,constant,2.016298669888107,1.9358121432183575,5.088197501648871e-05,step,True,0.12744755971647637,96,1,26,3.2360219154034935e-05,COMPLETE
13,0.2106064762184165,2026-01-07 19:14:23.591558,2026-01-07 19:16:19.912517,0 days 00:01:56.320959,weighted_sampling,16,0.26615472675913043,96,3,96,2,96,1,0.4081392987833978,constant,2.595413619227565,3.8815122858608246,0.0005005424358492219,onecycle,True,0.26980685103195,96,1,40,3.4984224732336264e-06,PRUNED
14,0.5426738054200742,2026-01-07 19:16:19.914410,2026-01-07 19:22:54.693394,0 days 00:06:34.778984,class_weights,16,0.4746087724141579,96,3,32,4,96,3,0.28534605210197117,exponential,2.392654999455229,1.9507199763643652,0.00014361146085453444,cosine,True,0.19267045653234138,192,3,24,1.2231555739164748e-05,COMPLETE
15,0.4069875683010012,2026-01-07 19:22:54.698291,2026-01-07 19:25:50.800672,0 days 00:02:56.102381,focal_only,16,0.4017552688255729,32,2,96,1,96,2,0.4989604756163689,exponential,1.8834511275880206,2.9271434247476593,0.001562172296513209,step,True,0.39031853500807995,256,1,30,8.34815300266593e-05,PRUNED
16,0.14615952180131286,2026-01-07 19:25:50.801274,2026-01-07 19:26:55.095769,0 days 00:01:04.294495,weighted_sampling,32,0.21768233391460068,128,2,32,2,96,3,0.29552324993856294,constant,2.736539068852908,1.524019982846959,0.0009555710618719904,cosine,True,0.4308444684115654,96,1,36,2.9486201062460304e-06,PRUNED
17,0.16194403901866586,2026-01-07 19:26:55.096342,2026-01-07 19:30:30.641476,0 days 00:03:35.545134,weighted_sampling,16,0.3360494501280421,64,3,64,3,96,1,0.41070960310935506,constant,3.4191658301588292,1.0151418629616684,9.306658069911264e-05,step,True,0.31013247824032375,96,3,23,1.9338610496754583e-05,PRUNED
18,0.1467519894385566,2026-01-07 19:30:30.642155,2026-01-07 19:31:33.949465,0 days 00:01:03.307310,focal_only,16,0.503169786738455,32,2,96,3,96,2,0.3518217803681865,exponential,3.139502250512226,2.8757347318244544,0.0003831213961060596,onecycle,True,0.2341957682464934,96,1,29,0.00018394654116225047,PRUNED
19,0.5311787010891489,2026-01-07 19:31:33.950087,2026-01-07 19:34:01.413293,0 days 00:02:27.463206,class_weights,32,0.5810841124549151,96,3,32,2,64,2,0.4382881268218364,linear,2.2699419505855376,2.1601636337688337,0.00017715909317841418,cosine,True,0.15848465702941983,192,2,33,2.732352293786234e-06,COMPLETE
