number,value,datetime_start,datetime_complete,duration,params_balance_strategy,params_batch_size,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_focal_gamma,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_use_attention,params_use_residual,params_warmup_epochs,params_weight_decay,state
0,-0.8803418803418803,2026-01-07 13:03:26.317778,2026-01-07 13:04:09.349382,0 days 00:00:43.031604,weighted_sampling,16,0.31649165607921675,96,2,32,2,96,2,0.4137788066524075,exponential,2.123422152178822,7.828160165372797,0.0004446862319918235,cosine,True,0.4879639408647978,96,1,True,True,12,1.3783237455007196e-06,COMPLETE
1,-0.6068376068376069,2026-01-07 13:04:09.350758,2026-01-07 13:04:49.331900,0 days 00:00:39.981142,focal_only,32,0.25636968998990506,32,2,64,3,64,3,0.19890411118369217,exponential,2.6225543951389927,6.11649063413779,0.0007360091638366148,warmup_cosine,False,0.11809091556421523,128,3,True,True,11,0.00020597335357437193,COMPLETE
2,-0.5641025641025641,2026-01-07 13:04:49.332610,2026-01-07 13:05:03.833935,0 days 00:00:14.501325,focal_only,64,0.5232481518257668,128,2,48,4,32,2,0.2798362861599046,constant,3.4248945898842225,3.0347606526559536,0.00016159601572059157,onecycle,False,0.19971689165954998,256,1,False,False,11,2.138729075414893e-06,COMPLETE
3,-0.5811965811965811,2026-01-07 13:05:03.837581,2026-01-07 13:05:50.843489,0 days 00:00:47.005908,focal_only,32,0.3471132530877013,64,2,32,2,32,2,0.36092198214610965,linear,2.610401623198925,3.8718321450249573,0.0004421971587471365,step,False,0.15795794883648925,192,2,True,True,10,0.00010781845035122267,COMPLETE
4,-0.5384615384615384,2026-01-07 13:05:50.844247,2026-01-07 13:06:40.902090,0 days 00:00:50.057843,class_weights,32,0.46540070764322233,32,2,96,3,96,1,0.2154721113767451,exponential,1.890485975596089,3.4683738391404626,0.0001660656623288565,warmup_cosine,True,0.41195021834304957,192,2,False,False,9,0.00017356982090814218,COMPLETE
5,-0.8803418803418803,2026-01-07 13:06:40.904410,2026-01-07 13:07:34.322087,0 days 00:00:53.417677,focal_only,16,0.267797098674437,96,3,64,3,32,2,0.41421251996533115,exponential,2.1759903137030716,4.467959221322467,0.00033834923797322397,warmup_cosine,True,0.2712736593269257,64,3,True,True,7,0.0004286661750367161,COMPLETE
6,-0.46153846153846156,2026-01-07 13:07:34.322895,2026-01-07 13:08:20.406979,0 days 00:00:46.084084,weighted_sampling,32,0.4125418526272592,64,3,48,2,96,2,0.1279824440318806,exponential,2.33920012485558,5.044764722071349,0.0002524809146243085,warmup_cosine,False,0.24407625656450516,256,2,True,False,10,1.719369205183305e-06,COMPLETE
7,-0.7863247863247863,2026-01-07 13:08:20.407685,2026-01-07 13:08:33.010274,0 days 00:00:12.602589,class_weights,64,0.3498450458505885,96,2,48,1,64,2,0.4736591639494363,linear,2.1379512605875224,5.728083946579675,0.0004339279523500557,warmup_cosine,True,0.29664635004673295,96,1,True,True,8,0.000661745084906319,COMPLETE
8,-0.5470085470085471,2026-01-07 13:08:33.011069,2026-01-07 13:08:44.365369,0 days 00:00:11.354300,class_weights,64,0.5723029302414259,96,3,48,4,96,3,0.4775278851728622,constant,1.6824122060973807,4.596568187952075,0.00016282034303303808,cosine,False,0.17097581751188912,96,3,True,False,5,0.00048592549471642457,COMPLETE
9,-0.905982905982906,2026-01-07 13:08:44.366069,2026-01-07 13:09:34.411798,0 days 00:00:50.045729,class_weights,16,0.34970831830244814,128,3,96,2,96,2,0.07533647405682681,exponential,3.4264450788812226,5.343303209970632,0.0003922537568925168,onecycle,True,0.13364272244599898,128,2,True,True,5,1.8735531924000167e-05,COMPLETE
10,-0.5470085470085471,2026-01-07 13:09:34.415715,2026-01-07 13:10:12.888069,0 days 00:00:38.472354,weighted_sampling,32,0.45075345796262717,64,3,48,1,96,1,0.05638650363117337,constant,3.0433282865138764,6.779707861274428,6.236880693432358e-05,step,False,0.38056290620748967,256,2,False,False,7,7.5286203365962454e-06,COMPLETE
11,-0.9145299145299145,2026-01-07 13:10:12.888914,2026-01-07 13:10:38.001556,0 days 00:00:25.112642,weighted_sampling,32,0.43743710893156945,32,3,96,3,96,1,0.18316600429634186,exponential,1.6571683279085767,3.041107401539802,0.001843811355113034,warmup_cosine,True,0.3847911208853646,192,2,False,False,9,5.942183529470127e-05,PRUNED
