number,value,datetime_start,datetime_complete,duration,params_classifier_dropout,params_classifier_hidden,params_classifier_layers,params_cnn_base_channels,params_cnn_layers,params_discriminator_hidden,params_discriminator_layers,params_domain_loss_weight,params_domain_weight_schedule,params_gamma_grl,params_learning_rate,params_lr_scheduler,params_lstm_bidirectional,params_lstm_dropout,params_lstm_hidden,params_lstm_layers,params_warmup_epochs,params_weight_decay,state
0,0.1306553911205074,2026-01-05 22:57:29.223626,2026-01-05 22:58:03.548797,0 days 00:00:34.325171,0.31649165607921675,96,1,32,2,96,2,0.22359802667203107,linear,7.557861855309373,0.003971084710792475,cosine,True,0.4879639408647978,96,1,9,1.5339162591163623e-06,COMPLETE
1,0.23340380549682876,2026-01-05 22:58:03.549573,2026-01-05 22:58:41.462997,0 days 00:00:37.913424,0.5687496940092467,64,3,48,2,96,1,0.24164622299156457,constant,17.032954711310595,0.0005731044951044767,warmup_cosine,True,0.3080272084711243,96,2,2,0.00014817820606039095,COMPLETE
2,0.146723044397463,2026-01-05 22:58:41.463778,2026-01-05 22:59:13.874590,0 days 00:00:32.410812,0.485297914889198,64,3,32,1,64,3,1.8243763004595768,exponential,12.628560367470541,0.0001215700035639442,step,False,0.12542334011440948,128,1,5,0.00035127047262708476,COMPLETE
3,0.42748414376321353,2026-01-05 22:59:13.875464,2026-01-05 23:01:01.233733,0 days 00:01:47.358269,0.5442922333025373,128,1,96,1,32,1,1.9286498603900113,linear,19.57673124081441,0.0025130453543203484,warmup_cosine,False,0.31573689676626027,256,3,5,0.0006487477066058681,COMPLETE
4,0.492600422832981,2026-01-05 23:01:01.234513,2026-01-05 23:01:35.739839,0 days 00:00:34.505326,0.41430987362990335,32,1,48,2,32,1,1.4127817023946854,linear,7.6154964350748715,0.00241059251530677,warmup_cosine,False,0.19682210860460017,256,1,10,8.053471030316104e-06,COMPLETE
5,0.07441860465116279,2026-01-05 23:01:35.740522,2026-01-05 23:02:12.180541,0 days 00:00:36.440019,0.5119502183430495,96,2,48,2,96,2,1.3387263930549411,linear,15.378427965390399,0.00010319557208250064,onecycle,True,0.4588863031813307,64,2,8,4.3977668944839625e-06,COMPLETE
6,0.30655391120507397,2026-01-05 23:02:12.181319,2026-01-05 23:03:28.448720,0 days 00:01:16.267401,0.48898084610460213,64,3,64,2,64,1,1.9308779564695804,constant,19.499822285655043,0.00011008216045761733,cosine,True,0.2572390898667042,256,2,6,0.005167425813322415,COMPLETE
7,0.1970401691331924,2026-01-05 23:03:28.449537,2026-01-05 23:05:49.023639,0 days 00:02:20.574102,0.5240453578716723,128,3,96,4,32,3,1.1987322678927306,exponential,6.4097290976130346,0.025240486486288863,step,True,0.3073318609454947,192,3,6,2.2489542843914508e-05,COMPLETE
8,0.35602536997885836,2026-01-05 23:05:49.024387,2026-01-05 23:06:29.704688,0 days 00:00:40.680301,0.3291825891764984,96,2,96,2,64,3,1.1435306629416289,constant,8.75364347246893,0.0012698479732927768,cosine,False,0.1341389859975072,128,2,2,4.933751600448339e-06,COMPLETE
9,0.3856236786469345,2026-01-05 23:06:29.705474,2026-01-05 23:07:09.593310,0 days 00:00:39.887836,0.37354065969518924,64,2,32,4,64,2,0.15037149002908146,linear,14.636289173094735,0.00599507131673255,onecycle,True,0.11629152092758806,96,1,1,4.484744524732796e-06,COMPLETE
10,0.33699788583509516,2026-01-05 23:07:09.594162,2026-01-05 23:07:43.261132,0 days 00:00:33.666970,0.23878751189931188,32,1,48,3,32,1,0.6664739130299896,linear,10.170733914327108,0.015913402144184,warmup_cosine,False,0.21519872507876253,256,1,14,3.4891473252311236e-05,COMPLETE
11,0.4718816067653277,2026-01-05 23:07:43.262046,2026-01-05 23:09:30.754973,0 days 00:01:47.492927,0.42917921539685666,128,1,96,1,32,1,1.5779490368854476,linear,11.297176088648472,0.0012169977951724054,warmup_cosine,False,0.4086656573027754,256,3,11,0.0009870288705428958,COMPLETE
12,0.5369978858350951,2026-01-05 23:09:30.755802,2026-01-05 23:11:18.488539,0 days 00:01:47.732737,0.4347317287548675,32,1,64,1,32,1,1.5460157460956996,linear,10.455211401809118,0.0007775906199689583,warmup_cosine,False,0.4007487736535289,256,3,12,0.004673026438371425,COMPLETE
13,0.3285412262156448,2026-01-05 23:11:18.489432,2026-01-05 23:12:10.963245,0 days 00:00:52.473813,0.42403142019180556,32,1,64,3,32,1,0.7677420556348622,linear,6.231573566959012,0.00038281716317725126,warmup_cosine,False,0.38858799654617926,256,3,13,0.001954429462510449,COMPLETE
14,0.427061310782241,2026-01-05 23:12:10.964056,2026-01-05 23:12:37.216477,0 days 00:00:26.252421,0.3768598955085089,32,1,64,1,32,2,1.529212809416486,linear,9.085274531879792,0.008972139818083643,warmup_cosine,False,0.19790021357715393,64,2,11,0.008256409974757425,COMPLETE
15,0.05496828752642706,2026-01-05 23:12:37.217313,2026-01-05 23:13:12.139716,0 days 00:00:34.922403,0.4416522621383571,32,2,64,3,32,2,1.56526144243922,exponential,5.283679177395271,0.00038505296139409637,warmup_cosine,False,0.3651250666290947,192,3,15,3.781396644213121e-05,PRUNED
